Bauxite_destination_m,Bauxite_source_m,Bauxite_tonnes_m,Alumina_destination_m,Alumina_source_m,Alumina_tonnes_m,Bauxite_destination_x,Bauxite_source_x,Bauxite_tonnes_x,Alumina_destination_x,Alumina_source_x,Alumina_tonnes_x,Bauxite_local_country,Bauxite_local_tonnes,country1,avg_co2_kg_per_kwh,country2,energy_kwh_per_t
United Kingdom,Germany,1945110,USA,Jamaica,154094600,Brazil,Oman,9107750,China,"China, Hong Kong SAR",1001669,,,,,,
United Kingdom,India,523200,USA,Canada,114312288,Brazil,Algeria,2775436,China,Chile,992399,,,,,,
United Kingdom,Spain,203377,USA,Australia,63404148,Brazil,Poland,1668760,China,Belarus,976008,,,,,,
United Kingdom,USA,143904,USA,Germany,22294076,Brazil,Bolivia (Plurinational State of),1001150,China,Algeria,942806,,,,,,
Brazil,Spain,2412000,USA,France,15180316,Brazil,Tunisia,808380,China,Hungary,920229,,,,,,
Brazil,China,2220132,USA,Spain,11452420,Brazil,Portugal,729000,China,Oman,908900,,,,,,
Brazil,Guyana,1051918,USA,India,10982908,Brazil,Ukraine,673650,China,Czechia,823719,,,,,,
Brazil,"China, Hong Kong SAR",360000,USA,Austria,9014422.1,Brazil,Germany,618385,China,Tunisia,782000,,,,,,
Mexico,Guyana,12153182,USA,Denmark,7592214,Brazil,Egypt,592812,China,Senegal,710612,,,,,,
Mexico,USA,11874700,USA,Netherlands,6894601,Brazil,United States Minor Outlying Islands,458082,China,"China, Macao SAR",709950,,,,,,
Mexico,China,10483801,USA,Japan,5761706,Brazil,South Africa,386000,China,Norway,677535,,,,,,
Türkiye,China,34570521,USA,Switzerland,4631159,Brazil,Iraq,362274,China,Romania,669522,,,,,,
Türkiye,Jamaica,11286020,USA,Bahrain,4047359,Brazil,Mexico,307810,China,Switzerland,594090.2,,,,,,
Türkiye,Guyana,8762058,USA,Slovenia,2142361,Brazil,Australia,216690.4,China,Iraq,549240,,,,,,
Türkiye,Spain,3816000,USA,Rep. of Korea,1526910,Brazil,Colombia,206750,China,United Rep. of Tanzania,496725,,,,,,
Türkiye,Netherlands,259614,USA,Hungary,1328991,Brazil,United Kingdom,160500,China,Qatar,363850,,,,,,
Türkiye,Brazil,133500,USA,Italy,1123340,Brazil,Türkiye,133500,China,Cambodia,352060,,,,,,
France,Greece,80267000,USA,Guyana,1000000,Türkiye,China,3137942073,China,New Zealand,301707,,,,,,
France,Türkiye,72896728.8,USA,Singapore,873880,Türkiye,Canada,338284000,China,Sweden,270824,,,,,,
France,China,16737960.6,USA,Türkiye,666160,Türkiye,USA,140926321,China,Kyrgyzstan,243210,,,,,,
France,Germany,12156276,USA,Belgium,471205,Türkiye,Greece,106309890,China,Ukraine,214165,,,,,,
France,Guyana,10714870,USA,Mexico,296743,Türkiye,Senegal,70072100,China,Côte d'Ivoire,181936,,,,,,
France,Netherlands,6900487,USA,Ukraine,189959,Türkiye,United Arab Emirates,65250000,China,Sri Lanka,171255,,,,,,
France,Spain,5616830,USA,Czechia,129147.4,Türkiye,France,64932139,China,Cameroon,168056,,,,,,
France,Luxembourg,5044548.1,Canada,Brazil,3753490402,Türkiye,Netherlands,58100001,China,Ireland,156000,,,,,,
France,Belgium,3265020,Canada,Australia,1312824526,Türkiye,Mexico,51700000,China,Uganda,150000,,,,,,
France,Italy,912598,Canada,Jamaica,102108000,Türkiye,Croatia,41880000,China,Zambia,149518,,,,,,
France,United Kingdom,202040,Canada,USA,31203988,Türkiye,Benin,40700000,China,Ethiopia,127420,,,,,,
Germany,Guinea,2183614296,Canada,China,10961172.9,Türkiye,Ukraine,33062430,China,Slovakia,119000,,,,,,
Germany,China,27221549.8,Canada,France,1707186,Türkiye,Israel,30300000,India,Oman,600614880,,,,,,
Germany,Türkiye,14490149,Canada,Germany,1206517,Türkiye,Spain,27761995,India,United Kingdom,368865750,,,,,,
Germany,Guyana,6445353,Canada,India,1206449.4,Türkiye,Ireland,16000000,India,Russian Federation,358966785,,,,,,
Germany,Netherlands,2847450,Canada,Bahrain,599733,Türkiye,Switzerland,14063809,India,United Arab Emirates,283092546,,,,,,
Germany,Brazil,1651937,Canada,Netherlands,541904,Türkiye,Poland,13545451,India,Qatar,214383943,,,,,,
Germany,Luxembourg,869608,Canada,Austria,531136,Türkiye,Morocco,13230760,India,Egypt,183372838,,,,,,
Germany,Austria,141040,Canada,Indonesia,376750,Türkiye,Romania,11500000,India,Indonesia,95041050,,,,,,
Greece,Brazil,539154404,Canada,Canada,181044,Türkiye,United Kingdom,10100000,India,China,35177740,,,,,,
Greece,Guinea,364704526,Canada,Mexico,129371,Türkiye,Algeria,9850000,India,Malaysia,34448470,,,,,,
Greece,Türkiye,100142330,Canada,Japan,116586,Türkiye,Italy,8500000,India,Rep. of Korea,29518519,,,,,,
Greece,Montenegro,93036100,Japan,Brazil,281299858,Türkiye,Rep. of Moldova,4400000,India,"Other Asia, nes",18986226.6,,,,,,
Greece,Sierra Leone,89594902,Japan,Australia,265447749,Türkiye,Angola,3703618,India,Thailand,13006496,,,,,,
Greece,Ghana,46585700,Japan,China,154848376,Türkiye,Slovenia,2282555,India,USA,12546304,,,,,,
Sweden,Greece,4500000,Japan,Rep. of Korea,43156773,Türkiye,Germany,734822,India,Japan,12402198,,,,,,
Sweden,Germany,3284000,Japan,Indonesia,32031970,Türkiye,Japan,499314,India,Saudi Arabia,11508150,,,,,,
Sweden,Luxembourg,805000,Japan,India,12162225,Türkiye,Iran,239493,India,Italy,10615095,,,,,,
Sweden,China,651000,Japan,Germany,9281416,Türkiye,Georgia,175790,India,Australia,6275350,,,,,,
Sweden,Spain,408000,Japan,Viet Nam,7439260,France,Italy,1408584,India,Bangladesh,4623675,,,,,,
Italy,Guyana,20669900,Japan,Bahrain,5131975,France,Germany,1325160,India,Kenya,4215500,,,,,,
Italy,Spain,7497820,Japan,USA,4317647,France,Netherlands,759200,India,South Africa,2657439,,,,,,
Italy,China,5176800,Japan,France,3497800,France,Slovakia,701970,India,Germany,2548995,,,,,,
Italy,Türkiye,3200000,Japan,Saudi Arabia,1620000,France,Switzerland,364300,India,Viet Nam,2100273,,,,,,
Italy,Luxembourg,2680350,Japan,Austria,1582720,France,Spain,158000,India,Nigeria,1602603,,,,,,
Italy,Germany,1869150,Japan,Thailand,812280,France,Belgium,154735,India,Canada,1375529,,,,,,
Italy,France,1062650,Japan,Slovenia,617440,Germany,Poland,9673110,India,Sri Lanka,1341347,,,,,,
Spain,Guinea,2073150000,Japan,Italy,482420,Germany,Latvia,5533760,India,Philippines,1241735,,,,,,
Spain,Türkiye,27762018,Japan,Hungary,377000,Germany,Netherlands,3206180,India,Mexico,1206798,,,,,,
Spain,Guyana,26051100,Japan,Singapore,281844,Germany,France,2963580,India,Türkiye,1046963,,,,,,
Spain,China,2785920,Japan,Canada,258650,Germany,Czechia,2823990,India,Netherlands,901211.2,,,,,,
Spain,Germany,2734870,Japan,Netherlands,250800,Germany,Slovakia,1964250,India,Ethiopia,814500,,,,,,
,,,Japan,Spain,192000,Germany,Austria,1568080,India,Pakistan,781850,,,,,,
,,,Rep. of Korea,China,229563761,Germany,Sweden,815590,India,Chile,770201,,,,,,
,,,Rep. of Korea,Viet Nam,83713274.7,Germany,Belgium,740067,India,New Zealand,579972,,,,,,
,,,Rep. of Korea,Indonesia,79061654.2,Germany,Italy,633507,India,Austria,502000,,,,,,
,,,Rep. of Korea,Australia,44397432.3,Germany,Denmark,627620,India,Kuwait,465025,,,,,,
,,,Rep. of Korea,India,31140292.3,Germany,Slovenia,499771,India,Brazil,398305,,,,,,
,,,Rep. of Korea,Germany,13703249,Germany,Romania,197770,India,Algeria,258000,,,,,,
,,,Rep. of Korea,Japan,12017845.9,Germany,Brazil,175000,India,Nepal,247928.2,,,,,,
,,,Rep. of Korea,Brazil,6113437.5,Germany,Spain,109711,India,Dem. People's Rep. of Korea,192000,,,,,,
,,,Rep. of Korea,France,5675594,Greece,France,121426000,India,Portugal,160160,,,,,,
,,,Rep. of Korea,USA,5473778,Greece,Bulgaria,5270000,India,Dominican Rep.,152810,,,,,,
,,,Rep. of Korea,"Other Asia, nes",2128583,Greece,Sweden,4501000,India,Poland,125012,,,,,,
,,,Rep. of Korea,Finland,252000,Italy,Romania,1129270,India,Finland,120000,,,,,,
,,,Rep. of Korea,Netherlands,136550.2,Italy,France,936949,India,Ghana,111305,,,,,,
,,,United Kingdom,Ireland,50690140,Italy,Germany,693469,India,France,96050,,,,,,
,,,United Kingdom,Spain,41276490,Italy,Slovenia,676365,Australia,Bahrain,3047191000,,,,,,
,,,United Kingdom,Germany,35483858,Spain,Italy,5868860,Australia,United Arab Emirates,2312702000,,,,,,
,,,United Kingdom,China,18654793,Spain,Türkiye,4017000,Australia,South Africa,1377340000,,,,,,
,,,United Kingdom,France,7787642,Spain,Brazil,2465000,Australia,Canada,1343650000,,,,,,
,,,United Kingdom,Norway,6603204,Spain,Germany,996000,Australia,Qatar,1081501000,,,,,,
,,,United Kingdom,Australia,4727550,Spain,France,772170,Australia,Mozambique,1017310000,,,,,,
,,,United Kingdom,Hungary,3588681,Spain,Japan,662325,Australia,Oman,727380000,,,,,,
,,,United Kingdom,Netherlands,3097792,Spain,Belgium,649300,Australia,China,667694007.5,,,,,,
,,,United Kingdom,USA,864879.4,Spain,Saudi Arabia,433000,Australia,Argentina,613700000,,,,,,
,,,United Kingdom,Bosnia Herzegovina,849102,Spain,Mexico,346930,Australia,New Zealand,583120630,,,,,,
,,,United Kingdom,India,622254,Spain,Belarus,296440,Australia,India,549280030,,,,,,
,,,United Kingdom,Brazil,555686,Spain,United Kingdom,253506.8,Australia,Malaysia,491705000,,,,,,
,,,United Kingdom,Italy,551420,Spain,Portugal,233385,Australia,Iceland,398600000,,,,,,
,,,United Kingdom,Slovenia,532780,Spain,Sweden,178500,Australia,Indonesia,360455000,,,,,,
,,,United Kingdom,Austria,402646,Spain,Morocco,153000,Australia,Japan,235800000,,,,,,
,,,Brazil,China,15811714.7,Spain,Argentina,132500,Australia,USA,63000075,,,,,,
,,,Brazil,Germany,5674864.8,,,,Australia,Thailand,44093590,,,,,,
,,,Brazil,USA,4170749.1,,,,Australia,Netherlands,12006160,,,,,,
,,,Brazil,Japan,3153933.8,,,,Australia,Rep. of Korea,9450800,,,,,,
,,,Brazil,Bahrain,1946000,,,,Australia,"Other Asia, nes",9120000,,,,,,
,,,Brazil,Netherlands,1659325,,,,Australia,Papua New Guinea,101550,,,,,,
,,,Brazil,France,742790,,,,Bahrain,Türkiye,6930000,,,,,,
,,,Brazil,"China, Hong Kong SAR",560300,,,,Bahrain,Japan,6786380,,,,,,
,,,Brazil,India,433767,,,,Bahrain,India,6607790,,,,,,
,,,Brazil,Austria,276185.8,,,,Bahrain,USA,3793140,,,,,,
,,,Brazil,Luxembourg,126250,,,,Bahrain,Spain,2929130,,,,,,
,,,Türkiye,China,47037029,,,,Bahrain,Saudi Arabia,2185000,,,,,,
,,,Türkiye,Germany,28612316,,,,Bahrain,Brazil,1978000,,,,,,
,,,Türkiye,Greece,28500107,,,,Bahrain,Netherlands,1937000,,,,,,
,,,Türkiye,Bosnia Herzegovina,16717385,,,,Bahrain,"Other Asia, nes",1129500,,,,,,
,,,Türkiye,Spain,11599414,,,,Bahrain,South Africa,1083700,,,,,,
,,,Türkiye,France,8203698.7,,,,Bahrain,Thailand,905500,,,,,,
,,,Türkiye,Bahrain,6122118,,,,Bahrain,Canada,685075,,,,,,
,,,Türkiye,Slovenia,5130158,,,,Bahrain,Slovakia,499432,,,,,,
,,,Türkiye,Netherlands,2611930,,,,Bahrain,France,416000,,,,,,
,,,Türkiye,Austria,1835833,,,,Bahrain,Poland,326000,,,,,,
,,,Türkiye,Ukraine,1455408,,,,Bahrain,Slovenia,306000,,,,,,
,,,Türkiye,Hungary,1287886,,,,Bahrain,United Arab Emirates,263251,,,,,,
,,,Türkiye,Brazil,1110391,,,,Bahrain,Egypt,100000,,,,,,
,,,Türkiye,India,1033018,,,,USA,Mexico,56957962,,,,,,
,,,Türkiye,USA,492201,,,,USA,China,39659083,,,,,,
,,,Türkiye,Italy,402788,,,,USA,Canada,35861174,,,,,,
,,,Türkiye,"China, Hong Kong SAR",264023,,,,USA,France,10123442,,,,,,
,,,Türkiye,Rep. of Korea,233393,,,,USA,Kuwait,7047759,,,,,,
,,,Türkiye,Russian Federation,162065,,,,USA,Germany,6316210,,,,,,
,,,Türkiye,United Kingdom,106376,,,,USA,Rep. of Korea,5575928.4,,,,,,
,,,Türkiye,Ireland,102000,,,,USA,Belgium,5325456,,,,,,
,,,France,Ireland,449723711,,,,USA,Japan,4629227,,,,,,
,,,France,Germany,119606653.6,,,,USA,Netherlands,3545696,,,,,,
,,,France,Greece,115747701,,,,USA,"Other Asia, nes",2799154,,,,,,
,,,France,Brazil,106575586.2,,,,USA,India,2649176,,,,,,
,,,France,Spain,41386895,,,,USA,Saudi Arabia,2494965,,,,,,
,,,France,Jamaica,30133000,,,,USA,Peru,2288281,,,,,,
,,,France,USA,10607434.5,,,,USA,Brazil,2273851,,,,,,
,,,France,China,9468515.7,,,,USA,Denmark,1909492.9,,,,,,
,,,France,Italy,5693645,,,,USA,Bangladesh,1292760,,,,,,
,,,France,Netherlands,4812536,,,,USA,Argentina,1213794,,,,,,
,,,France,Bosnia Herzegovina,4160247.3,,,,USA,United Kingdom,1095098,,,,,,
,,,France,Belgium,3816996.5,,,,USA,Sweden,1049703,,,,,,
,,,France,Slovenia,3167731,,,,USA,Bulgaria,931600,,,,,,
,,,France,United Kingdom,2957480.5,,,,USA,Spain,920127,,,,,,
,,,France,Guinea,2755800,,,,USA,Italy,917375,,,,,,
,,,France,Australia,2276012.2,,,,USA,United Arab Emirates,907753,,,,,,
,,,France,Austria,1168050,,,,USA,Kazakhstan,765890,,,,,,
,,,France,Canada,930260.3,,,,USA,Thailand,536373,,,,,,
,,,France,France,861234,,,,USA,Türkiye,520426,,,,,,
,,,France,Hungary,750040,,,,USA,Hungary,449362.1,,,,,,
,,,France,Switzerland,344312.9,,,,USA,Costa Rica,399609,,,,,,
,,,France,Luxembourg,235200,,,,USA,Colombia,372719,,,,,,
,,,France,Ukraine,208052,,,,USA,South Africa,315602,,,,,,
,,,France,Rep. of Korea,185954.2,,,,USA,Singapore,277833.9,,,,,,
,,,France,Bulgaria,168900,,,,USA,Ireland,277150.6,,,,,,
,,,France,"Areas, nes",155143.4,,,,USA,Indonesia,228751,,,,,,
,,,France,Bahrain,108412.1,,,,USA,Chile,201625.6,,,,,,
,,,Germany,Netherlands,325155147,,,,USA,Switzerland,197369,,,,,,
,,,Germany,China,84741667.1,,,,USA,Norway,174882,,,,,,
,,,Germany,Spain,69167485,,,,USA,Malaysia,171690.1,,,,,,
,,,Germany,Brazil,44116174,,,,USA,Trinidad and Tobago,167490,,,,,,
,,,Germany,Slovenia,28270518,,,,USA,Egypt,139281,,,,,,
,,,Germany,France,23318940,,,,USA,Austria,107051.1,,,,,,
,,,Germany,Bosnia Herzegovina,22581145.7,,,,USA,Australia,102824,,,,,,
,,,Germany,Austria,18843600,,,,USA,Qatar,97759,,,,,,
,,,Germany,Hungary,15861687,,,,Canada,USA,118015476,,,,,,
,,,Germany,Greece,13729050,,,,Canada,India,5860282,,,,,,
,,,Germany,Luxembourg,9979710,,,,Canada,Germany,3239793,,,,,,
